No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	1	1-H-1	What do you see in the pictures?	あなたはこの写真の中に何が見えますか？	疑問詞(What)	doの疑問文		
1	1	1-1-1	Today, I want to tell you about my country, the Republic of South Africa.	今日、私は私の国、南アフリカ共和国についてあなたにお話したいと思います。	want to do	tell A about B		
2	1	1-1-2	It's here, at the southern tip of the African continent.	それはここ、アフリカ大陸の南の端にあります。	be動詞(is)	at (場所)		
3	1	1-1-3	"We are called the ""Rainbow Nation"" because of our cultural diversity."	私たちは文化の多様性のために「虹の国」と呼ばれています。	受動態	call A B (の受動態)	because of	
4	1	1-1-4	English is spoken as an official language, but we have ten other official languages.	英語は公用語として話されていますが、私たちには他に10の公用語があります。	受動態	as (資格)		
5	1	1-1-5	We have many national parks with diverse wildlife.	私たちには多様な野生生物がいる国立公園がたくさんあります。	many			
6	1	1-1-6	Now, I want to introduce Ms. Ota Yuka to you.	さて、私はあなたにオオタ・ユカさんを紹介したいと思います。	want to do	introduce A to B		
7	1	1-1-7	She is a safari guide in Greater Kruger.	彼女はグレーター・クルーガーでサファリガイドをしています。	be動詞(is)			
8	1	1-1-8	Today, she will guide us through the safari in real time on the internet.	今日、彼女がインターネットのリアルタイムで私たちをサファリへと案内してくれます。	will	guide A through B		
9	1	1-1-9	Here's Ms. Ota.	オオタさんです。	Here is ~			
1	1	1-2-1	Ms. Ota: Hello!	オオタさん：こんにちは！	(挨拶)			
2	1	1-2-2	Welcome to our amazing virtual safari tour.	私たちのアメージングなバーチャルサファリツアーへようこそ。	Welcome to ~			
3	1	1-2-3	First, let me show you something interesting.	まず、何か面白いものをお見せしますね。	let O do	something + 形容詞		
4	1	1-2-4	What's this?	これは何ですか？	疑問詞(What)			
5	1	1-2-5	Can you guess?	推測できますか？	can			
6	1	1-2-6	Tina: It's big!	それは大きい。	be動詞(is)			
7	1	1-2-7	Is it an elephant's footprint?	それは象の足跡ですか？	be動詞の疑問文			
8	1	1-2-8	Yes, this footprint will help us find the elephant.	はい、この足跡が象を見つけるのを助けてくれるでしょう。	will	help O do		
9	1	1-2-9	It may be near here.	それはこの近くにいるかもしれません。	may			
10	1	1-2-10	Let's go and look.	行って見てみましょう。	Let's do			
11	1	1-2-11	Later:	その後：	(場面転換)			
12	1	1-2-12	Look over there.	あそこを見て。	命令文			
13	1	1-2-13	Elephants!	象だ！	(名詞の感嘆)			
14	1	1-2-14	Yeah, what are they doing?	ええ、彼らは何をしているのですか？	現在進行形	疑問詞(What)		
15	1	1-2-15	Well, they're bathing in water to keep cool.	ええと、彼らは涼しく保つために水浴びをしています。	現在進行形	to不定詞(副詞的用法)		
16	1	1-2-16	They also bathe in mud.	彼らは泥の中でも水浴びをします。	also			
17	1	1-2-17	They like to keep themselves clean and healthy by bathing.	彼らは水浴びをすることで自分たちを清潔で健康に保つのが好きです。	like to do	keep O C	by -ing	
18	1	1-2-18	I didn't know that.	それは知りませんでした。	did not (didn't)			
1	1	1-3-1	Hajin: Ms. Thusi told us that you also do conservation.	ハジン：トゥシさんが、あなたも保護活動をしていると私たちに教えてくれました。	tell O that S V	do (動詞の強調)		
2	1	1-3-2	Ms. Ota: Yes.	オオタさん：はい。	(応答)			
3	1	1-3-3	That's my other job.	それが私のもう一つの仕事です。	be動詞(is)			
4	1	1-3-4	I monitor animals' lives, and I protect them.	私は動物たちの生活を観察し、そして彼らを守っています。	and			
5	1	1-3-5	Illegal hunters kill the rhinos for their horns.	違法なハンターたちが角のためにサイを殺します。	for (目的)			
6	1	1-3-6	Eri: That's terrible.	エリ：それはひどいですね。	be動詞(is)			
7	1	1-3-7	We cut off their horns safely so that illegal hunters won't kill them.	私たちは、違法なハンターたちが彼らを殺さないように、安全に角を切り落とします。	so that S will/can/may V	won't (will not)		
8	1	1-3-8	Kota: What's your message for us in Japan?	コウタ：日本の私たちへのメッセージは何ですか？	疑問詞(What)			
9	1	1-3-9	Ms. Ota: In the savanna, there is an ecosystem.	オオタさん：サバンナには、生態系があります。	There is ~			
10	1	1-3-10	All living things are connected in a circle of life.	すべての生き物は、生命の環の中（で）つながっています。	受動態	All ~		
11	1	1-3-11	Each one depends on another to live.	それぞれが、生きるために他のものに依存しています。	Each	depend on ~	to不定詞(副詞的用法)	
12	1	1-3-12	Humans should respect this.	人間はこれを尊重すべきです。	should			
1	1	1-G-1	Wild Giant Panda Populations	野生ジャイアントパンダの個体数	(見出し)			
2	1	1-G-2	Giant Pandas No Longer Endangered	ジャイアントパンダはもはや絶滅危惧種ではない	(見出し)			
3	1	1-G-3	Great news!	素晴らしいニュースです！	(感嘆)			
4	1	1-G-4	Giant pandas were removed from the endangered species list in China in 2021.	ジャイアントパンダは2021年に中国の絶滅危惧種リストから外されました。	受動態	remove from ~		
5	1	1-G-5	In the 1980s, because of hunting and destruction of bamboo forests, giant pandas became endangered.	1980年代、狩猟と竹林の破壊のために、ジャイアントパンダは絶滅の危機に瀕しました。	because of	become C		
6	1	1-G-6	People found that the situation was serious and started working hard to protect and breed pandas.	人々は状況が深刻であると気づき、パンダを保護し繁殖させるために熱心に取り組み始めました。	find that S V	start -ing	to不定詞(副詞的用法)	
7	1	1-G-7	Thanks to their efforts, today it is said that more than 1,850 pandas remain in the wild in China.	彼らの努力のおかげで、今日、1,850頭以上のパンダが中国の野生に残っていると言われています。	it is said that ~	more than ~		
8	1	1-G-8	However, the panda's future is not yet secure.	しかしながら、パンダの未来はまだ安全ではありません。	not yet			
9	1	1-G-9	So, many people in China are still working hard.	そのため、中国の多くの人々が今も熱心に取り組んでいます。	so			
10	1	1-G-10	"These days, smart technology like the “Digital Panda System"" is helping them protect panda habitats."	最近では、「デジタルパンダシステム」のようなスマートテクノロジーが、彼らがパンダの生息地を保護するのを助けています。	like (前置詞)	help O do		
11	1	1-G-11	For example, the system can find wildfires in the deep forest from the sky.	例えば、そのシステムは空から深い森の山火事を見つけることができます。	can			
12	1	1-G-12	The success of their conservation activities gives us hope for other endangered species.	彼らの保護活動の成功は、私たちに他の絶滅危惧種への希望を与えます。	give A B			
1	2	2-H-1	The Minami High School Festival	南高校祭	(タイトル)			
2	2	2-H-2	May 10 [Sat.] - 11 [Sun.]	5月10日(土) - 11日(日)	(日付)			
3	2	2-H-3	Where do you want to go on your school trip, and why?	あなたは修学旅行でどこに行きたいですか、そしてそれはなぜですか？	疑問詞(Where/Why)	want to do		
4	2	2-H-4	What will happen during their school trip?	彼らの修学旅行中に何が起こるでしょうか？	疑問詞(What)	will		
1	2	2-1-1	On the way to Kiyomizu-dera Temple:	清水寺へ向かう途中：	(場面)			
2	2	2-1-2	Do we go up the hill?	私たちはこの丘を上るのですか？	doの疑問文	go up		
3	2	2-1-3	Yes. This way.	はい。こちらです。	(応答)			
4	2	2-1-4	This is so beautiful.	これはとても美しいです。	so (副詞)			
5	2	2-1-5	It's like traveling back in time.	まるで時間をさかのぼって旅をしているみたいです。	like (前置詞)	動名詞		
6	2	2-1-6	Look. I think that's the tower of Yasaka.	見て。あれが八坂の塔だと思う。	think (that) S V			
7	2	2-1-7	Cool!	かっこいい！	(感嘆)			
8	2	2-1-8	Later:	その後：	(場面転換)			
9	2	2-1-9	We've arrived at the top!	私たちは頂上に着きました！	現在完了形(完了)			
10	2	2-1-10	We've finally reached the famous stage of Kiyomizu-dera Temple.	私たちはついに清水寺の有名な舞台に到着しました。	現在完了形(完了)			
11	2	2-1-11	Wow, this is amazing!	うわあ、これはすごい！	(感嘆)			
12	2	2-1-12	The view is breathtaking.	この眺めは息をのむようです。	be動詞(is)			
13	2	2-1-13	You can see the whole of Kyoto from here!	ここから京都のすべてが見えますね！	can			
1	2	2-2-1	They get off the bus:	彼らはバスを降ります：	(場面)			
2	2	2-2-2	I think Kyoto Station is that way.	京都駅はあちら側だと思います。	think (that) S V			
3	2	2-2-3	Tina, have you checked your photos yet?	ティナ、もう写真は確認した？	現在完了形(完了)	yet (疑問文)		
4	2	2-2-4	No, I haven't.	いいえ、まだです。	(応答)			
5	2	2-2-5	I'll do it at the hotel.	ホテルでやります。	will (I'll)			
6	2	2-2-6	I want to share them with my family.	家族と共有したいです。	want to do	share A with B		
7	2	2-2-7	Wait a minute!	ちょっと待って！	命令文			
8	2	2-2-8	What's wrong?	どうしたの？	(口語表現)			
9	2	2-2-9	I think I left my camera on the bus.	バスにカメラを置き忘れたと思います。	think (that) S V	leave (置き忘れる)		
10	2	2-2-10	Really? Don't worry.	本当？心配しないで。	命令文(否定)			
11	2	2-2-11	I'll get it.	取ってきます。	will (I'll)			
12	2	2-2-12	Look! The bus hasn't left yet.	見て！バスはまだ出発していません。	現在完了形(完了)	yet (否定文)		
13	2	2-2-13	Go, Kota! Hurry up.	行け、コウタ！急いで。	命令文			
14	2	2-2-14	The bus is leaving.	バスが行ってしまう。	現在進行形(近未来)			
15	2	2-2-15	Kota, be careful!	コウタ、気をつけて！	be動詞の命令文			
1	2	2-3-1	Hajin: What's up with Kota?	ハジン：コウタはどうしたの？	(口語表現)			
2	2	2-3-2	Have you ever seen him like that?	彼があんな風なの、今まで見たことある？	現在完了形(経験)	ever		
3	2	2-3-3	Eri: No, never.	エリ：いいえ、一度もないわ。	(応答)			
4	2	2-3-4	He's changed recently.	彼は最近変わったわ。	現在完了形(完了)			
5	2	2-3-5	Maybe the reason is you, Tina.	たぶん理由はあなたよ、ティナ。	maybe			
6	2	2-3-6	Tina: Me?	ティナ：私？	(応答)			
7	2	2-3-7	Kota returns:	コウタが戻ってくる：	(場面)			
8	2	2-3-8	Kota: Here you are.	コウタ：はい、どうぞ。	(口語表現)			
9	2	2-3-9	Tina: You found my camera!	ティナ：私のカメラを見つけてくれたのね！	find			
10	2	2-3-10	Thank you so much.	本当にありがとう。	(感謝)			
11	2	2-3-11	So you caught up with the bus?	じゃあ、バスに追いついたの？	catch up with ~			
12	2	2-3-12	Kota: It's no big deal.	コウタ：たいしたことないよ。	(口語表現)			
13	2	2-3-13	I'm just happy you didn't lose your photos.	君が写真をなくさなくて、僕はただ嬉しいんだ。	be happy that S V			
14	2	2-3-14	Eri: Look at the sunset!	エリ：夕日を見て！	look at ~			
15	2	2-3-15	Kota: Wow. I've never seen such a beautiful sunset.	コウタ：うわあ。こんなに美しい夕日は一度も見たことがないよ。	現在完了形(経験)	never	such a ~	
1	2	2-G-1	A. Kimono Photo Shoot and Shopping Tour in Gion	A. 祇園での着物写真撮影と買い物ツアー	(コース名)			
2	2	2-G-2	B. Arashiyama and Uzumasa Tour	B. 嵐山と太秦ツアー	(コース名)			
3	2	2-G-3	C. Uji Matcha and Byodoin Temple Tour	C. 宇治抹茶と平等院ツアー	(コース名)			
4	2	2-G-4	I want to join course A because ...	私はコースAに参加したいです、なぜなら...	want to do	because		
5	2	2-G-5	As Eri said, we can ...	エリが言ったように、私たちは...できます。	As (〜のように)			
6	2	2-G-6	I agree with Kota.	私はコウタに賛成です。	agree with ~			
7	2	2-G-7	I like Kota's idea.	私はコウタの考えが好きです。				
8	2	2-G-8	My opinion is the same as Kota's.	私の意見はコウタのと同じです。	the same as ~			
9	2	2-G-9	I think Kota's idea is good.	私はコウタの考えは良いと思います。	think (that) S V			
10	2	2-G-10	I don't agree with Kota.	私はコウタに賛成しません。	don't			
11	2	2-G-11	I like Kota's idea, but...	私はコウタの考えは好きですが、しかし...	but			
12	2	2-G-12	Kota's opinion may be correct, but...	コウタの意見は正しいかもしれませんが、しかし...	may			
13	2	2-G-13	Kota's idea sounds good, but...	コウタの考えは良さそうに聞こえますが、しかし...	sound + 形容詞			
14	2	2-G-14	Kota says [said] (that) ...	コウタは〜と言います（言いました）。				
15	2	2-G-15	In Kota's opinion, ...	コウタの意見では...	In one's opinion			
16	2	2-G-16	According to Kota, ...	コウタによれば...	According to ~			
17	2	2-G-17	I've heard that...	私は〜だと聞いたことがあります。	現在完了形(経験)			
1	3	3-H-1	Lessons From Hiroshima	広島からの教訓	(タイトル)			
2	3	3-H-2	What will they learn in Hiroshima?	彼らは広島で何を学ぶのでしょうか？	疑問詞(What)	will		
3	3	3-H-3	Do you know about this monument in Hiroshima?	広島にあるこの記念碑について知っていますか？	doの疑問文	know about ~		
4	3	3-H-4	Hi, Josh! Thank you for calling.	こんにちは、ジョシュ！電話してくれてありがとう。	Thank you for -ing			
5	3	3-H-5	I'm looking forward to seeing you!	あなたに会えるのを楽しみにしています！	look forward to -ing			
6	3	3-H-6	I have ..., so I'll bring it.	私は...を持っているので、それを持って行きます。	so	will (I'll)		
1	3	3-1-1	This is the Atomic Bomb Dome.	これが原爆ドームです。	be動詞(is)			
2	3	3-1-2	The world's first atomic bomb was dropped near here at 8:15 a.m. on August 6, 1945.	世界で最初の原子爆弾が、1945年8月6日午前8時15分にこの近くに投下されました。	受動態	at (時間)	on (日付)	
3	3	3-1-3	The dome has been like this for about 80 years.	ドームは、約80年間この状態のままです。	現在完了形(継続)	for (期間)		
4	3	3-1-4	It reminds us of the horrors of the atomic bomb.	それは私たちに原子爆弾の恐ろしさを思い出させます。	remind A of B			
5	3	3-1-5	It's also a reminder of our mission to work for peace.	それはまた、平和のために働くという私たちの使命を思い出させるものでもあります。	to不定詞(形容詞的用法)			
6	3	3-1-6	Does anyone have any questions?	誰か質問はありますか？	doの疑問文			
7	3	3-1-7	How long have you been a peace volunteer?	あなたはどのくらいの間ピースボランティアをしているのですか？	現在完了形(継続)	How long ~?		
8	3	3-1-8	I've been a volunteer since 2000.	私は2000年からボランティアをしています。	現在完了形(継続)	since (起点)		
9	3	3-1-9	That's a long time!	長い時間ですね！	be動詞(is)			
1	3	3-2-1	Why did you become a volunteer?	なぜボランティアになったのですか？	疑問詞(Why)	didの疑問文		
2	3	3-2-2	When my daughter was a child, she often asked me questions about the peace monuments, but I couldn't answer.	私の娘が子供だったとき、彼女はよく平和記念碑について私に質問しましたが、私は答えることができませんでした。	when (接続詞)	ask A B	can (could)	
3	3	3-2-3	I realized that I didn't know much about the atomic bomb.	私は原子爆弾についてあまり知らないことに気づきました。	realize that S V	not much		
4	3	3-2-4	So I wanted to learn about the bombing.	だから、私はその爆撃について学びたいと思いました。	want to do			
5	3	3-2-5	I was determined to tell people, especially young people, about these tragic events.	私はこれらの悲劇的な出来事について、人々、特に若い人々に伝えようと決心していました。	be determined to do	especially		
6	3	3-2-6	Young people must learn about these events to create a better world.	若い人々は、より良い世界を創造するために、これらの出来事について学ばなければなりません。	must	to不定詞(副詞的用法)		
7	3	3-2-7	On the Shinkansen	新幹線にて	(場面)			
8	3	3-2-8	I've been thinking about our trip to Hiroshima.	私は広島への旅行についてずっと考えています。	現在完了進行形			
9	3	3-2-9	Me, too.	私もです。	(応答)			
10	3	3-2-10	What can we do to promote peace in the world?	世界の平和を促進するために、私たちは何ができますか？	can	to不定詞(副詞的用法)		
1	3	3-3-1	Kota's writing a report:	コウタはレポートを書いています：	現在進行形			
2	3	3-3-2	Our trip to Hiroshima was a valuable experience for me.	広島への私たちの旅行は、私にとって貴重な経験でした。	be動詞(was)			
3	3	3-3-3	Before our trip, our teacher told us what to see in Hiroshima: the Atomic Bomb Dome.	旅行の前、先生は私たちに広島で何を見るべきか、すなわち原爆ドームについて教えてくれました。	tell A B	間接疑問文(what to do)		
4	3	3-3-4	There I met a peace volunteer.	そこで私は一人のピースボランティアに会いました。	meet			
5	3	3-3-5	Though she wasn't a victim of the atomic bomb, she learned about the victims.	彼女は原爆の犠牲者ではありませんでしたが、犠牲者について学びました。	Though S V			
6	3	3-3-6	The survivors of the atomic bomb are getting older year by year.	原爆の生存者たちは、年々歳をとっていっています。	get + 比較級	year by year		
7	3	3-3-7	She thinks we should pass their words on to the next generation.	彼女は、私たちは彼らの言葉を次の世代に伝えるべきだと考えています。	think (that) S V	should	pass ~ on to ...	
8	3	3-3-8	From her, I learned a lot about the war and the tragic events of August 6, 1945.	彼女から、私は戦争と1945年8月6日の悲劇的な出来事について多くを学びました。	a lot			
9	3	3-3-9	She showed us how to work for world peace.	彼女は私たちに、世界平和のためにどのように働くかを示してくれました。	show A B	間接疑問文(how to do)		
10	3	3-3-10	It's important for us to learn about the past and share it with others.	私たちが過去について学び、それを他の人々と共有することは重要です。	It is ~ for A to do			
1	3	3-G-1	Peace can't be built by words alone.	平和は言葉だけでは築くことはできません。	受動態	can't (cannot)		
2	3	3-G-2	I became a peace volunteer because of my daughter's questions.	私は娘の質問がきっかけでピースボランティアになりました。	because of ~			
3	3	3-G-3	I was born and raised in Hiroshima, and I learned about the A-bombing at school.	私は広島で生まれ育ち、学校で原爆投下について学びました。	受動態	and		
4	3	3-G-4	However, when my daughter asked me some questions about it, I found that I couldn't answer in my own words.	しかし、娘がそれについていくつか質問したとき、私は自分の言葉で答えられないことに気づきました。	when (接続詞)	find that S V	can (could)	
5	3	3-G-5	I decided to learn about the A-bombing of Hiroshima again.	私は再び広島の原爆投下について学ぼうと決心しました。	decide to do			
6	3	3-G-6	I wanted to pass down my own words to younger people, such as my daughter.	私は自分の言葉を、娘のような若い人たちに伝えていきたいと思いました。	want to do	pass down ~	such as ~	
7	3	3-G-7	I am not an A-bomb survivor, so at first it was difficult for me to talk about the A-bombing without personal experience.	私は被爆者ではないので、最初は個人的な経験なしに原爆投下について話すことは難しかったです。	It is ~ for A to do	without ~		
8	3	3-G-8	Then one day I learned about Mr. Floyd Schmoe.	それからある日、私はフロイド・シュモーさんについて知りました。	one day			
9	3	3-G-9	He was an American, and he had no A-bomb experience, but he thought of the survivors and felt their pain as his own.	彼はアメリカ人で、被爆経験はありませんでしたが、生存者のことを思い、彼らの痛みを自分のものとして感じました。	think of ~	as (同様)		
10	3	3-G-10	He collected money and came to Hiroshima to help A-bomb survivors.	彼はお金を集め、被爆者を助けるために広島に来ました。	to不定詞(副詞的用法)			
11	3	3-G-11	His action became a big inspiration for me.	彼の行動は私にとって大きなインスピレーションとなりました。				
12	3	3-G-12	I have been learning from him and acting as a peace volunteer since then.	それ以来、私は彼から学び、ピースボランティアとして活動しています。	現在完了進行形	since then		
13	3	3-G-13	"I'd like to introduce his words to you -- ""Peace can't be built by words alone. Action must be taken.”"	彼の言葉をあなたに紹介したいと思います――「平和は言葉だけでは築けない。行動が起こされなければならない」。	I'd like to do	受動態(must)		
1	3A	AG-1	The dome has been like this for about 80 years.	ドームは約80年間この状態です。	現在完了形(継続)	for(期間)		
2	3A	AG-2	Look! The bus hasn't left yet.	見て！バスはまだ出発していません。	現在完了形(完了)	yet(否定文)		
3	3A	AG-3	I've never seen such a beautiful sunset.	私はこんなに美しい夕日を一度も見たことがありません。	現在完了形(経験)	never	such a ~	
4	3A	AG-4	I've been thinking about our trip to Hiroshima.	私は広島への旅行についてずっと考えています。	現在完了進行形			
5	3A	AG-5	I have seen this movie twice.	私はこの映画を2回見たことがあります。	現在完了形(経験)	twice		
6	3A	AG-6	Have you ever seen that movie?	あなたはその映画を今までに見たことがありますか？	現在完了形(経験)	ever		
7	3A	AG-7	Yes, I have. / No, I haven't. / No, never.	はい、あります。／いいえ、ありません。／いいえ、一度もありません。	(応答)			
8	3A	AG-8	I have never seen that movie.	私はその映画を一度も見たことがありません。	現在完了形(経験)	never		
9	3A	AG-9	Kota has known Eri for 12 years.	コウタはエリと12年間知り合いです。	現在完了形(継続)	for(期間)		
10	3A	AG-10	How long has Kota known Eri?	コウタはどのくらいの間エリと知り合いですか？	現在完了形(継続)	How long ~?		
11	3A	AG-11	For 12 years. / Since he was three.	12年間です。／彼が3歳の時から。	for(期間)	since(起点)		
12	3A	AG-12	It has been raining for three days.	3日間ずっと雨が降っています。	現在完了進行形	for(期間)		
13	3A	AG-13	How long has it been raining?	どのくらいの間雨が降っていますか？	現在完了進行形	How long ~?		
14	3A	AG-14	For three days. / Since yesterday morning.	3日間です。／昨日の朝から。	for(期間)	since(起点)		
15	3A	AG-15	I have already finished my English homework.	私はすでに英語の宿題を終えました。	現在完了形(完了)	already		
16	3A	AG-16	Have you finished your math homework yet?	あなたはもう数学の宿題を終えましたか？	現在完了形(完了)	yet(疑問文)		
17	3A	AG-17	Yes, I have. / No, I haven't. / No, not yet.	はい、終えました。／いいえ、まだです。／いいえ、まだです。	(応答)			
18	3A	AG-18	I have not finished my math homework yet.	私はまだ数学の宿題を終えていません。	現在完了形(完了)	not yet		
19	3A	AG-19	Tina left her camera on the bus yesterday.	ティナは昨日バスにカメラを置き忘れました。	過去形			
20	3A	AG-20	Tina has left her camera on the bus.	ティナはバスにカメラを置き忘れてしまいました。（そして今もない）	現在完了形(結果)			
1	3A	LR1-1	On the morning of July 17, 1940, Sugihara Chiune was in his house in Kaunas, Lithuania.	1940年7月17日の朝、杉原千畝はリトアニアのカウナスにある彼の家にいました。	on (日付)	in (場所)		
2	3A	LR1-2	He looked outside and saw many people around his house.	彼は外を見て、家の周りに多くの人々がいるのを見ました。	and			
3	3A	LR1-3	"“Who are they?"" asked his wife, Yukiko."	「彼らは誰ですか？」と彼の妻、幸子は尋ねました。	疑問詞(Who)			
4	3A	LR1-4	"“People from Poland. They're Jewish. They escaped from the Nazis,"" he answered."	「ポーランドから来た人々です。彼らはユダヤ人です。ナチスから逃れてきたのです」と彼は答えました。	escape from ~			
5	3A	LR1-5	They asked Sugihara to issue visas.	彼らは杉原にビザを発給するように頼みました。	ask A to do B			
6	3A	LR1-6	They wanted to go to safe countries.	彼らは安全な国へ行きたがっていました。	want to do			
7	3A	LR1-7	To get there, they needed to pass through Japan.	そこへ行くために、彼らは日本を通過する必要がありました。	to不定詞(副詞的用法)	need to do	pass through ~	
8	3A	LR1-8	“I must help these people,” Sugihara thought.	「私はこの人々を助けなければならない」と杉原は思いました。	must			
9	3A	LR1-9	The next day, there were more people around his house.	次の日、彼の家の周りにはさらに多くの人々がいました。	There were ~			
10	3A	LR1-10	He asked for permission to issue visas, but it was refused by the Foreign Ministry.	彼はビザを発給する許可を求めましたが、それは外務省によって拒否されました。	ask for ~	受動態		
11	3A	LR1-11	He tried again but received the same answer.	彼は再び試みましたが、同じ答えを受け取りました。	but			
12	3A	LR1-12	After 10 days, Sugihara finally decided to help them.	10日後、杉原はついに彼らを助けることを決心しました。	decide to do			
13	3A	LR1-13	He told Yukiko that he was going to issue visas to the people.	彼は幸子に、人々にビザを発給するつもりだと伝えました。	tell O that S V	be going to do		
14	3A	LR1-14	Yukiko knew the risks, but she agreed.	幸子はその危険性を知っていましたが、彼女は同意しました。	but			
15	3A	LR1-15	“I'll support you,” she said to him.	「私があなたを支えます」と彼女は彼に言いました。	will (I'll)			
16	3A	LR1-16	"On July 29, he said to the people around his house, “You will all get your visas!"""	7月29日、彼は家の周りの人々に言いました、「あなた方は全員ビザを手に入れるでしょう！」	will			
17	3A	LR1-17	There was a short silence, then a big cry of joy.	短い沈黙があり、それから大きな歓喜の叫び声がありました。	There was ~			
